"","X79x35","X94x44","X96x42","X94x26","X99x27","X96x40","X92x46","X76x24","X74x36","X93x35","X77x35","X80x36","X90x26","X73x35","X87x27","X92x26","X81x25","X92x44","X101x45","X86x48","X101x27","X79x39","X92x32","X78x44","X93x23","X101x25","X91x23","X83x45","X84x44","X72x32","X75x49","X76x44","X82x28","X90x44","X71x31","X71x27","X81x45","X76x48","X94x48","X86x30","X100x38","X84x48","X92x36","X98x46","X80x22","X71x43","X100x28","X77x49","X97x41","X78x36","X78x42","X83x47","X78x30","X90x36","X90x46","X75x27","X72x42","X73x27","X88x38","X98x32","X97x49","X88x26","X82x46","X97x21","X75x29","X93x41","X81x23","X92x24","X71x45","X99x21","X76x38","X85x43","X96x46","X86x26","X99x49","X97x37","X92x34","X88x30","X74x22","X79x25","X90x48","X100x42","X90x38","X87x35","X87x33","X89x41","X94x24","X81x35","X75x25","X78x40","X82x22","X93x47","X92x28","X93x27","X97x25","X71x21","X97x35","X87x23","X101x29","X76x26","X88x48","X91x43","X75x31","X71x35","X91x45","X85x45","X71x47","X79x23","X100x22","X71x37","X99x33","X84x40","X74x46","X89x45","X94x40","X74x26","X86x28","X89x33","X73x47","X84x24","X72x24","X98x42","X81x37","X74x48","X99x31","X78x28","X77x23","X90x28","X73x49","X91x25","X99x25","X83x25","X94x36","X99x37","X98x26","X85x21","X73x45","X85x49","X85x25","X71x33","X85x29","X92x48","X75x37","X84x28","X91x27","X86x24","X98x38","X88x34","X82x42","X71x49","X101x37","X76x36","X76x32","X86x36","X77x33","X89x49","X93x21","X88x36","X97x27","X95x21","X85x41","X73x23","X85x37","X71x23","X95x25","X95x43","X94x46","X89x23","X73x29","X71x29","X78x38","X85x27","X93x37","X96x22","X87x39","X99x39","X80x24","X83x39","X73x43","X75x21","X97x43","X80x28","X101x39","X98x48","X85x31","X94x32","X91x49","X86x32","X83x43","X92x22","X80x26","X98x30","X98x24","X96x34","X74x40","X77x43","X101x47","X74x44","X84x26","X94x30","X72x44","X91x31","X93x29","X74x42","X101x23","X100x26","X82x36","X96x24","X99x23","X81x41","X100x46","X101x31","X77x21","X89x37","X96x44","X84x38","X79x43","X88x42","X97x29","X88x46","X83x23","X78x22","X93x39","X94x22","X80x38","X87x41","X92x40","X87x31","X91x37","X92x42","X81x43","X100x44","X77x25","X72x30","X86x42","X100x30","X96x28","X80x46","X74x30","X77x45","X93x49","X83x29","X89x27","X88x44","X89x39","X81x39","X100x34","X73x39","X95x27","X72x38","X75x43","X71x41","X82x48","X90x30","X89x21","X90x22","X79x27","X91x29","X95x41","X82x44","X77x37","X100x40","X95x29","X94x28","X78x46","X95x35","X80x34","X99x41","X84x22","X73x41","X95x39","X84x42","X89x35","X77x29","X97x31","X95x33","X82x32","X82x26","X78x32","X82x34","X94x42","X91x35","X83x31","X87x43","X93x31","X72x26","X79x49","X75x33","X90x42","X84x36","X89x25","X72x34","X97x23","X84x32","X80x30","X79x37","X87x47","X73x25","X91x33","X82x40","X83x37","X72x46","X81x33","X89x31","X81x49","X92x38","X77x39","X73x33","X75x39","X76x46","X88x24","X91x39","X77x41","X97x47","X85x39","X100x36","X83x41","X79x45","X78x26","X83x33","X75x41","X83x49","X88x32","X72x40","X80x42","X88x28","X101x33","X71x25","X97x45","X83x27","X93x25","X97x33","X83x21","X81x21","X87x37","X96x30","X81x31","X90x32","X89x43","X85x33","X85x23","X96x36","X100x32","X86x40","X96x48","X98x36","X100x24","X88x22","X82x30","X96x38","X74x34","X79x47","X92x30","X72x48","X73x31","X72x28","X99x35","X79x31","X75x23","X80x44","X76x22","X84x34","X81x47","X98x28","X89x29","X84x46","X76x40","X95x49","X99x45","X75x47","X74x28","X87x25","X79x33","X74x32","X88x40","X77x27","X77x47","X99x29","X98x44","X87x49","X95x47","X94x34","X79x41","X98x40","X80x32","X91x21","X93x45","X99x43","X96x32","X71x39","X98x34","X83x35","X101x35","X95x37","X91x41","X84x30","X74x24","X90x40","X85x35","X81x29","X87x21","X75x45","X76x42","X95x45","X73x37","X86x22","X76x28","X89x47","X100x48","X86x34","X79x29","X93x43","X73x21","X87x29","X86x44","X82x24","X95x31","X101x43","X96x26","X93x33","X78x48","X78x34","X80x48","X86x46","X98x22","X94x38","X91x47","X74x38","X82x38","X75x35","X86x38","X85x47","X95x23","X101x21","X87x45","X72x36","X90x34","X80x40","X101x49","X79x21","X76x34","X97x39","X99x47","X78x24","X101x41","X90x24","X72x22","X76x30","X81x27","X77x31"
"Ttr",227,12,52,0,2,172,7,4,89,152,173,204,3,125,1,5,4,18,1,2,1,59,126,3,2,1,3,2,3,7,0,6,3,12,3,1,5,2,7,7,580,4,290,6,6,6,3,1,65,147,5,5,5,314,7,1,7,3,6,390,3,2,1,0,3,56,0,1,3,1,67,17,0,2,0,482,356,5,0,0,3,7,197,246,203,49,0,227,0,45,2,1,3,2,1,2,401,3,18,1,5,9,7,42,6,6,3,0,0,38,450,45,6,5,98,1,5,192,2,4,0,42,90,3,224,3,1,3,4,3,5,0,519,537,1,1,2,4,2,16,5,1,80,4,2,2,113,407,16,4,548,181,10,217,26,3,3,227,1,3,54,2,126,2,3,7,5,2,2,0,96,2,186,2,120,405,2,72,2,4,20,6,767,3,8,97,5,105,11,2,4,24,1,472,11,4,7,4,0,12,2,50,1,13,1,5,195,5,1,18,5,1179,1,223,11,161,2,17,4,7,3,1,166,0,61,14,67,22,154,40,6,5,3,5,18,127,2,6,6,0,2,2,0,10,78,81,1022,46,2,18,3,2,1,4,1,2,3,4,57,6,72,79,1,2,1,182,210,61,2,6,262,23,290,2,39,327,25,2,10,185,39,336,4,15,17,1,3,9,32,301,4,29,1,36,4,56,3,2,355,49,142,1,157,17,4,195,49,12,26,3,1,89,6,1,45,782,15,4,2,166,6,0,109,12,4,1,791,0,14,3,2,322,1,5,54,10,9,214,7,249,1,431,608,62,0,515,5,1,4,370,36,4,5,3,5,1,671,3,1,5,2,178,3,1,1,3,12,4,4,2,0,3,47,7,61,3,0,8,6,2,4,471,21,193,14,3,5,21,336,24,455,288,1257,577,52,8,1,87,188,2,1,5,3,10,83,1,1,6,2,313,1,19,0,3,7,1,36,16,1,175,2,227,3,7,1,73,4,35,163,165,104,5,3,4,7,113,323,20,5,0,131,355,6,1,15,2,2,6,3,5
"1500015O10Rik",2,0,0,0,0,2,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,0,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,1,0,0,2,0,2,0,0,6,0,0,0,1,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,3,0,2,0,1,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,5,0,0,1,1,0,0,0,1,0,2,3,1,0,1,0,0,0,7,0,0,1,0,0,1,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,2,0,1,2,7,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,4,0,0,0,2,6,0,0,0,0,0,0,0,0
"Calml4",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kl",3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,1,0,1,0,2,4,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Clic6",0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,4,1,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,3,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,4,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,2,0,0,2,5,3,2,0,0,2,3,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"Msx1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Folr1",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Krt18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcne2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Kcnj13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
